--offload
MSG:	Starting Offload
timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batteryVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
297162	101292.375000	298.64	-1.187524	0.881066	-10.046070	0.005321	-0.003192	0.015963	302.99	0.00	0.76	0.68	0.20	2.820510	0	0	0	0	0
302162	101284.812500	298.60	-1.192312	0.766144	-10.036493	-0.007449	-0.003192	0.018091	303.19	0.01	0.07	0.05	0.21	3.474411	0	0	0	0	0
307162	101273.437500	298.55	-0.780509	0.804451	-10.046070	-0.013834	-0.006385	0.018091	303.04	0.01	0.64	0.57	0.24	4.458040	0	0	0	0	0
312162	101265.906250	298.51	-0.804451	0.857124	-10.036493	0.002128	-0.001064	0.015963	302.99	0.00	0.76	0.48	0.23	5.109337	0	0	0	0	0
317162	101300.718750	298.50	-0.770932	0.823605	-10.017339	-0.006385	-0.004256	0.015963	302.99	0.01	0.12	-0.25	0.23	2.099102	0	0	0	0	0
322162	101273.859375	298.46	-0.818816	0.818816	-10.055646	-0.007449	-0.003192	0.015963	302.99	0.01	0.33	0.05	0.24	4.421557	0	0	0	0	0
327162	101285.578125	298.43	-0.814028	0.842759	-10.070012	-0.005321	-0.002128	0.018091	302.99	0.00	0.60	0.26	0.24	3.408208	0	0	0	0	0
332162	101281.812500	298.41	-0.837970	0.885854	-10.074800	-0.001064	0.001064	0.019156	302.75	0.02	0.86	0.42	0.24	3.733821	0	0	0	0	0
337162	101297.328125	298.39	-0.818816	0.866701	-10.046070	-0.005321	-0.001064	0.018091	302.70	0.01	0.07	-0.07	0.24	2.392253	0	0	0	0	0
342162	101289.734375	298.36	-0.799663	0.837970	-10.046070	-0.006385	-0.004256	0.018091	302.99	0.00	0.21	-0.01	0.24	3.048830	0	0	0	0	0
347162	101285.968750	298.34	-0.823605	0.847547	-10.060435	-0.005321	-0.004256	0.014899	302.55	0.01	0.58	0.19	0.24	3.374432	0	0	0	0	0
352162	101278.375000	298.31	-0.799663	0.871489	-10.108319	-0.006385	-0.004256	0.017027	302.85	0.01	0.54	0.19	0.24	4.031069	0	0	0	0	0
357162	101278.375000	298.31	-0.775721	0.866701	-10.074800	0.000000	0.002128	0.018091	302.50	0.00	0.56	0.35	0.24	4.031069	0	0	0	0	0
362162	101293.906250	298.29	-0.814028	0.861912	-10.041281	0.000000	0.002128	0.017027	302.45	0.02	0.45	0.17	0.23	2.688113	0	0	0	0	0
