timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batterVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
10320116	100071.937500	284.26	-9.083600	1.426944	0.493205	-0.048954	-0.046825	0.035119	289.77	3.94	-0.99	0.02	0.03	103.614463	0	0	0	0	0
10325116	100068.203125	284.25	-9.878476	-0.095768	-0.272938	0.011706	-0.001064	-0.009578	289.72	3.95	-0.85	0.05	0.06	103.924819	0	0	0	0	0
10330116	100068.203125	284.25	-9.854534	-0.129286	-0.311246	0.023412	0.002128	-0.014899	289.72	3.95	-0.35	0.35	0.00	103.924819	0	0	0	0	0
10335116	100049.968750	284.25	-8.973467	0.660799	0.028730	0.061725	0.017027	-0.074495	289.72	3.94	-0.34	0.29	0.04	105.440383	0	0	0	0	0
10340116	100064.453125	284.23	-9.873687	-0.090979	-0.287304	0.011706	-0.001064	-0.007449	289.72	3.94	-0.25	0.39	0.04	104.236488	0	0	0	0	0
10345116	100046.218750	284.23	-9.773131	-1.522712	-1.465251	0.077688	-0.070238	0.085138	289.72	3.95	-0.15	0.38	0.02	105.752098	0	0	0	0	0
10350116	100060.703125	284.21	-9.883264	-0.105344	-0.311246	0.010642	-0.001064	-0.009578	289.53	3.94	-0.47	0.11	0.08	104.548156	0	0	0	0	0
10355116	100060.703125	284.21	-9.864110	-0.014365	-0.292092	0.010642	-0.002128	-0.005321	289.72	3.94	-0.53	-0.11	0.09	104.548156	0	0	0	0	0
10360116	100060.703125	284.21	-9.868899	-0.047884	-0.301669	0.013834	-0.003192	-0.006385	289.72	3.95	-0.06	0.30	0.07	104.548156	0	0	0	0	0
10365116	100075.203125	284.20	-9.883264	-0.047884	-0.306457	0.025541	0.002128	-0.005321	289.58	3.95	-0.62	-0.23	0.27	103.343070	0	0	0	0	0
10370116	100056.968750	284.20	-9.902418	-0.043095	-0.330399	0.008513	0.001064	-0.007449	289.53	3.95	-0.26	-0.03	0.10	104.858543	0	0	0	0	0
10375116	100053.187500	284.18	-9.897629	-0.090979	-0.320823	0.009578	-0.001064	-0.011706	289.72	3.94	-0.19	0.00	0.07	105.172836	0	0	0	0	0
10380116	100049.437500	284.16	-9.868899	-0.057460	-0.282515	0.008513	0.004256	-0.008513	289.63	3.94	0.10	0.32	0.12	105.484542	0	0	0	0	0
10385116	100067.671875	284.16	-9.868899	-0.067037	-0.272938	0.013834	-0.002128	-0.004256	289.72	3.95	-0.27	-0.03	0.12	103.968971	0	0	0	0	0
10390116	100067.671875	284.16	-9.888052	-0.067037	-0.311246	0.009578	-0.002128	-0.007449	289.53	3.94	-0.07	0.06	0.07	103.968971	0	0	0	0	0
10395116	100049.437500	284.16	-9.897629	-0.205901	-0.373495	0.010642	-0.002128	-0.004256	289.63	3.94	-0.25	-0.05	-0.09	105.484542	0	0	0	0	0
10400116	100063.937500	284.15	-9.911994	-0.047884	-0.292092	-0.002128	-0.002128	-0.008513	289.72	3.95	-0.31	-0.14	0.07	104.279342	0	0	0	0	0
10405116	100045.718750	284.15	-9.868899	-0.071826	-0.316034	0.008513	0.006385	-0.008513	289.72	3.94	0.49	0.45	0.06	105.793655	0	0	0	0	0
10410116	100063.937500	284.15	-10.184933	-1.790862	-1.556231	-0.063853	0.017027	-0.038312	289.63	3.94	-0.01	-0.00	0.07	104.279342	0	0	0	0	0
10415116	100045.718750	284.15	-9.873687	-0.076614	-0.306457	0.013834	-0.002128	-0.006385	289.43	3.94	0.09	0.16	0.01	105.793655	0	0	0	0	0
